rolname,query,calls,total_time,prop_total_time
postgres,"CREATE TABLE IF NOT EXISTS ""drizzle"".""__drizzle_migrations"" (
				id SERIAL PRIMARY KEY,
				hash text NOT NULL,
				created_at bigint
			)",2,75.029299,0.8%
pgbouncer,SELECT * FROM pgbouncer.get_auth($1),11,74.89772,0.8%
authenticator,"WITH
    pks_uniques_cols AS (
      SELECT
        connamespace,
        conrelid,
        jsonb_agg(column_info.cols) as cols
      FROM pg_constraint
      JOIN lateral (
        SELECT array_agg(cols.attname order by cols.attnum) as cols
        FROM ( select unnest(conkey) as col) _
        JOIN pg_attribute cols on cols.attrelid = conrelid and cols.attnum = col
      ) column_info ON $1
      WHERE
        contype IN ($2, $3) and
        connamespace::regnamespace::text <> $4
      GROUP BY connamespace, conrelid
    )
    SELECT
      ns1.nspname AS table_schema,
      tab.relname AS table_name,
      ns2.nspname AS foreign_table_schema,
      other.relname AS foreign_table_name,
      (ns1.nspname, tab.relname) = (ns2.nspname, other.relname) AS is_self,
      traint.conname  AS constraint_name,
      column_info.cols_and_fcols,
      (column_info.cols IN (SELECT * FROM jsonb_array_elements(pks_uqs.cols))) AS one_to_one
    FROM pg_constraint traint
    JOIN LATERAL (
      SELECT
        array_agg(row(cols.attname, refs.attname) order by ord) AS cols_and_fcols,
        jsonb_agg(cols.attname order by cols.attnum) AS cols
      FROM unnest(traint.conkey, traint.confkey) WITH ORDINALITY AS _(col, ref, ord)
      JOIN pg_attribute cols ON cols.attrelid = traint.conrelid AND cols.attnum = col
      JOIN pg_attribute refs ON refs.attrelid = traint.confrelid AND refs.attnum = ref
    ) AS column_info ON $5
    JOIN pg_namespace ns1 ON ns1.oid = traint.connamespace
    JOIN pg_class tab ON tab.oid = traint.conrelid
    JOIN pg_class other ON other.oid = traint.confrelid
    JOIN pg_namespace ns2 ON ns2.oid = other.relnamespace
    LEFT JOIN pks_uniques_cols pks_uqs ON pks_uqs.connamespace = traint.connamespace AND pks_uqs.conrelid = traint.conrelid
    WHERE traint.contype = $6
   and traint.conparentid = $7 ORDER BY traint.conrelid, traint.conname",61,69.625524,0.7%
supabase_auth_admin,"DO $$
BEGIN
  IF NOT EXISTS(SELECT *
    FROM information_schema.columns
    WHERE table_schema = 'auth' and table_name='users' and column_name='email_confirmed_at')
  THEN
      ALTER TABLE ""auth"".""users"" RENAME COLUMN ""confirmed_at"" TO ""email_confirmed_at"";
  END IF;
END $$",1,64.517222,0.7%
supabase_admin,"create function realtime.quote_wal2json(entity regclass)
      returns text
      language sql
      immutable
      strict
    as $$
      select
        (
          select string_agg('' || ch,'')
          from unnest(string_to_array(nsp.nspname::text, null)) with ordinality x(ch, idx)
          where
            not (x.idx = 1 and x.ch = '""')
            and not (
              x.idx = array_length(string_to_array(nsp.nspname::text, null), 1)
              and x.ch = '""'
            )
        )
        || '.'
        || (
          select string_agg('' || ch,'')
          from unnest(string_to_array(pc.relname::text, null)) with ordinality x(ch, idx)
          where
            not (x.idx = 1 and x.ch = '""')
            and not (
              x.idx = array_length(string_to_array(nsp.nspname::text, null), 1)
              and x.ch = '""'
            )
          )
      from
        pg_class pc
        join pg_namespace nsp
          on pc.relnamespace = nsp.oid
      where
        pc.oid = entity
    $$",1,61.0555,0.6%
postgres,"CREATE SCHEMA IF NOT EXISTS ""drizzle""",2,41.72991,0.4%
postgres,"CREATE TABLE ""ambassador_businesses"" (
	""id"" varchar PRIMARY KEY DEFAULT gen_random_uuid() NOT NULL,
	""ambassador_id"" varchar NOT NULL,
	""business_id"" varchar NOT NULL,
	""created_at"" timestamp DEFAULT now()
)",1,34.632514,0.4%
supabase_auth_admin,"DO $$
BEGIN
  IF NOT EXISTS(SELECT *
    FROM information_schema.constraint_column_usage
    WHERE table_schema = 'auth' and table_name='refresh_tokens' and constraint_name='refresh_tokens_token_unique')
  THEN
      ALTER TABLE ""auth"".""refresh_tokens"" ADD CONSTRAINT refresh_tokens_token_unique UNIQUE (""token"");
  END IF;

  IF NOT EXISTS(SELECT *
    FROM information_schema.constraint_column_usage
    WHERE table_schema = 'auth' and table_name='refresh_tokens' and constraint_name='refresh_tokens_parent_fkey')
  THEN
      ALTER TABLE ""auth"".""refresh_tokens"" ADD CONSTRAINT refresh_tokens_parent_fkey FOREIGN KEY (parent) REFERENCES auth.refresh_tokens(""token"");
  END IF;

  CREATE INDEX IF NOT EXISTS refresh_tokens_parent_idx ON ""auth"".""refresh_tokens"" USING btree (parent);
END $$",1,27.941182,0.3%
authenticator,"SELECT
      c.castsource::regtype::text,
      c.casttarget::regtype::text,
      c.castfunc::regproc::text
    FROM
      pg_catalog.pg_cast c
    JOIN pg_catalog.pg_type src_t
      ON c.castsource::oid = src_t.oid
    JOIN pg_catalog.pg_type dst_t
      ON c.casttarget::oid = dst_t.oid
    WHERE
      c.castcontext = $1
      AND c.castmethod = $2
      AND has_function_privilege(c.castfunc, $3)
      AND ((src_t.typtype = $4 AND c.casttarget IN ($5::regtype::oid , $6::regtype::oid))
       OR (dst_t.typtype = $7 AND c.castsource IN ($8::regtype::oid , $9::regtype::oid)))",61,27.465947,0.3%
supabase_admin,"CREATE TABLE IF NOT EXISTS ""realtime"".""schema_migrations"" (""version"" bigint, ""inserted_at"" timestamp(0), PRIMARY KEY (""version""))",1,26.059587,0.3%
